detector,indentifier,unit
k__Archaea,NCBITaxon_2157,UO:0000187
k__Archaea|p__Euryarchaeota,NCBITaxon_28890,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia,NCBITaxon_224756,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales,NCBITaxon_2191,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae,NCBITaxon_2194,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus,NCBITaxon_45989,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_unclassified,NCBITaxon_39662,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales,NCBITaxon_94695,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae,NCBITaxon_2206,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina,NCBITaxon_2207,UO:0000187
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_mazei,NCBITaxon_2209,UO:0000187
k__Archaea|p__Thaumarchaeota,NCBITaxon_651137,UO:0000187
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname,NCBITaxon_651142,UO:0000187
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales,NCBITaxon_31932,UO:0000187
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae,NCBITaxon_338190,UO:0000187
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosoarchaeum,NCBITaxon_1007082,UO:0000187
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Candidatus_Nitrosoarchaeum|s__Candidatus_Nitrosoarchaeum_unclassified,NCBITaxon_2641124,UO:0000187
k__Bacteria,NCBITaxon_2,UO:0000187
k__Bacteria|p__Acidobacteria,NCBITaxon_57723,UO:0000187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia,NCBITaxon_204432,UO:0000187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,NCBITaxon_204433,UO:0000187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,NCBITaxon_204434,UO:0000187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,NCBITaxon_112074,UO:0000187
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella,NCBITaxon_940557,UO:0000187
