instrument,platform
LL_235059670_GAIA_1Pothos_NA_metaphlan,GAIA_1Pothos_1
LL_235039591_GAIA_1Pothos_NA_metaphlan,GAIA_1Pothos_2
LL_235058141_GAIA_1Pothos_NA_metaphlan,GAIA_1Pothos_3
LL_235059326_GAIA_3Oxalis_NA_metaphlan,GAIA_3Oxalis_1
LL_235059325_GAIA_3Oxalis_NA_metaphlan,GAIA_3Oxalis_2
LL_235039556_GAIA_3Oxalis_NA_metaphlan,GAIA_3Oxalis_3
LL_235058145_GAIA_3Pothos_NA_metaphlan,GAIA_3Pothos_1
LL_235039598_GAIA_3Pothos_NA_metaphlan,GAIA_3Pothos_2
LL_235039575_GAIA_3Pothos_NA_metaphlan,GAIA_3Pothos_3
LL_235058125_GAIA_3Tatsoi_NA_metaphlan,GAIA_3Tatsoi_1
LL_235039619_GAIA_3Tatsoi_NA_metaphlan,GAIA_3Tatsoi_2
LL_235059635_GAIA_3Tatsoi_NA_metaphlan,GAIA_3Tatsoi_3
LL_235039572_GAIA_Control_NA_metaphlan,GAIA_Control_1
LL_235059350_GAIA_Control_NA_metaphlan,GAIA_Control_2
LL_235059676_GAIA_Control_NA_metaphlan,GAIA_Control_3
LL_235059323_GAIA_Diverse_NA_metaphlan,GAIA_Diverse_1
LL_235038627_GAIA_Diverse_NA_metaphlan,GAIA_Diverse_2
LL_235039585_GAIA_Diverse_Oxalis_metaphlan,GAIA_Diverse_3
LL_235056748_GAIA_Diverse_Tatsoi_metaphlan,GAIA_Diverse_3
LL_235057728_GAIA_Diverse_Middle_metaphlan,GAIA_Diverse_3
LL_235058134_GAIA_Diverse_Pothos_metaphlan,GAIA_Diverse_3
LL_235038637_HAC_1Pothos_NA_metaphlan,HAC_1Pothos_1
LL_235059683_HAC_1Pothos_NA_metaphlan,HAC_1Pothos_2
LL_235039568_HAC_1Pothos_NA_metaphlan,HAC_1Pothos_3
LL_235079738_HAC_3Oxalis_NA_metaphlan,HAC_3Oxalis_1
LL_235057281_HAC_3Oxalis_NA_metaphlan,HAC_3Oxalis_2
LL_235038642_HAC_3Oxalis_NA_metaphlan,HAC_3Oxalis_3
LL_235081209_HAC_3Pothos_NA_metaphlan,HAC_3Pothos_1
LL_235114088_HAC_3Pothos_NA_metaphlan,HAC_3Pothos_2
LL_235081545_HAC_3Pothos_NA_metaphlan,HAC_3Pothos_3
LL_235078130_HAC_3Tatsoi_NA_metaphlan,HAC_3Tatsoi_1
LL_235078152_HAC_3Tatsoi_NA_metaphlan,HAC_3Tatsoi_2
LL_235081554_HAC_3Tatsoi_NA_metaphlan,HAC_3Tatsoi_3
LL_235063952_HAC_Control_NA_metaphlan,HAC_Control_1
LL_235038645_HAC_Control_NA_metaphlan,HAC_Control_2
LL_235038646_HAC_Diverse_NA_metaphlan,HAC_Diverse_2
LL_235038608_HAC_Diverse_Oxalis_metaphlan,HAC_Diverse_3
LL_235058097_HAC_Diverse_Middle_metaphlan,HAC_Diverse_3
